product_id,product_name,category,brand,price,features,highlights,stock_status
1,Realme Tablet 788,Tablet,Realme,79369,"Snapdragon 8 Gen 2, 11-inch AMOLED display",New arrival,In stock
2,MSI Laptop 439,Laptop,MSI,142168,"i5 12th Gen, 8GB RAM, 512GB SSD",Limited stock,In stock
3,Xiaomi Tablet 574,Tablet,Xiaomi,46478,"Helio G99, 10.5-inch LCD, long battery life",High performance,In stock
4,Zebronics Speaker 832,Speaker,Zebronics,2583,"Bluetooth 5.0, 10W output, waterproof",Customer favorite,In stock
5,Realme Headphone 154,Headphone,Realme,7455,"Bluetooth 5.2, 40-hour battery",Customer favorite,In stock
6,Asus Laptop 728,Laptop,Asus,125765,"Touchscreen, Backlit keyboard, Fingerprint sensor",Value for money,In stock
7,Realme Tablet 665,Tablet,Realme,85116,"Apple M2 chip, 12.9-inch Retina display",High performance,Out of stock
8,Lenovo Laptop 313,Laptop,Lenovo,159176,"i3 11th Gen, 8GB RAM, 256GB SSD",Customer favorite,In stock
9,Oppo Mobile 274,Mobile,Oppo,56259,"90Hz display, AI camera, long battery life",Limited stock,In stock
10,Lenovo Laptop 688,Laptop,Lenovo,62125,"Ryzen 5, 8GB RAM, 512GB SSD",Value for money,In stock
11,Zebronics Speaker 295,Speaker,Zebronics,12828,"Smart assistant enabled, 360° sound",Value for money,In stock
12,Zebronics Speaker 560,Speaker,Zebronics,6131,"Smart assistant enabled, 360° sound",Limited stock,In stock
13,Boat Speaker 705,Speaker,Boat,7750,"Bluetooth 5.0, 10W output, waterproof",New arrival,In stock
14,Realme Headphone 773,Headphone,Realme,2285,"Lightweight, Sweat resistant",High performance,In stock
15,Apple Tablet 387,Tablet,Apple,81180,"Apple M2 chip, 12.9-inch Retina display",Value for money,In stock
16,JBL Headphone 453,Headphone,JBL,9939,"Deep bass, Mic support, Fast charging",Customer favorite,In stock
17,Sony Speaker 976,Speaker,Sony,3537,"Smart assistant enabled, 360° sound",Popular model,In stock
18,Apple Tablet 933,Tablet,Apple,29666,"Snapdragon 8 Gen 2, 11-inch AMOLED display",Customer favorite,In stock
19,Apple Tablet 371,Tablet,Apple,41872,"Helio G99, 10.5-inch LCD, long battery life",New arrival,In stock
20,JBL Headphone 903,Headphone,JBL,4430,"Lightweight, Sweat resistant",Popular model,In stock
21,Sony Headphone 392,Headphone,Sony,9621,"Noise cancellation, Foldable design",Limited stock,In stock
22,Apple Tablet 201,Tablet,Apple,51049,"Apple M2 chip, 12.9-inch Retina display",Popular model,Out of stock
23,Asus Laptop 562,Laptop,Asus,73366,"i3 11th Gen, 8GB RAM, 256GB SSD",High performance,In stock
24,Apple Mobile 133,Mobile,Apple,62006,"12GB RAM, 256GB storage, 200MP camera",Customer favorite,In stock
25,Realme Headphone 867,Headphone,Realme,3618,"Lightweight, Sweat resistant",Customer favorite,In stock
26,Asus Laptop 604,Laptop,Asus,65262,"i5 12th Gen, 8GB RAM, 512GB SSD",Popular model,In stock
27,Apple Tablet 975,Tablet,Apple,16865,"S-Pen support, Dolby Atmos speakers",Best seller,In stock
28,Realme Tablet 224,Tablet,Realme,36073,"Apple M2 chip, 12.9-inch Retina display",Customer favorite,In stock
29,Oppo Mobile 479,Mobile,Oppo,39569,"90Hz display, AI camera, long battery life",Limited stock,In stock
30,Sony Headphone 500,Headphone,Sony,1241,"Dual pairing, Voice assistant compatible",Customer favorite,In stock
31,Apple Tablet 162,Tablet,Apple,87476,"8GB RAM, 128GB storage, 13MP rear camera",Popular model,In stock
32,Asus Laptop 651,Laptop,Asus,67022,"Touchscreen, Backlit keyboard, Fingerprint sensor",Best seller,In stock
33,Realme Tablet 783,Tablet,Realme,50829,"S-Pen support, Dolby Atmos speakers",Limited stock,In stock
34,Apple Mobile 343,Mobile,Apple,42574,"6GB RAM, 64GB storage, 5000mAh battery",High performance,In stock
35,Realme Mobile 909,Mobile,Realme,39425,"8GB RAM, 128GB storage, 50MP camera",Popular model,In stock
36,Boat Speaker 484,Speaker,Boat,7927,"Bluetooth 5.0, 10W output, waterproof",Customer favorite,In stock
37,Lenovo Laptop 315,Laptop,Lenovo,122463,"i7 13th Gen, 16GB RAM, 1TB SSD, RTX 3050",High performance,In stock
38,Apple Tablet 903,Tablet,Apple,28683,"Helio G99, 10.5-inch LCD, long battery life",Customer favorite,In stock
39,Realme Tablet 546,Tablet,Realme,68194,"S-Pen support, Dolby Atmos speakers",High performance,Out of stock
40,Apple Tablet 572,Tablet,Apple,31393,"S-Pen support, Dolby Atmos speakers",Limited stock,In stock
41,OnePlus Mobile 480,Mobile,OnePlus,61832,"Snapdragon 7 Gen 1, 80W fast charging",New arrival,In stock
42,Vivo Mobile 620,Mobile,Vivo,32652,"Snapdragon 7 Gen 1, 80W fast charging",New arrival,In stock
43,Apple Tablet 838,Tablet,Apple,74514,"Apple M2 chip, 12.9-inch Retina display",Limited stock,In stock
44,Realme Tablet 388,Tablet,Realme,52160,"Helio G99, 10.5-inch LCD, long battery life",Value for money,In stock
45,OnePlus Mobile 710,Mobile,OnePlus,18539,"6GB RAM, 64GB storage, 5000mAh battery",Customer favorite,Out of stock
46,Dell Laptop 711,Laptop,Dell,82865,"Touchscreen, Backlit keyboard, Fingerprint sensor",Popular model,In stock
47,Samsung Tablet 466,Tablet,Samsung,81275,"8GB RAM, 128GB storage, 13MP rear camera",Customer favorite,In stock
48,JBL Speaker 716,Speaker,JBL,14258,"Portable, 12-hour playtime, bass boost",Best seller,In stock
49,JBL Headphone 683,Headphone,JBL,1556,"Noise cancellation, Foldable design",Popular model,In stock
50,Lenovo Laptop 440,Laptop,Lenovo,155045,"i7 13th Gen, 16GB RAM, 1TB SSD, RTX 3050",Best seller,In stock
